Date,Open,High,Low,Close,Adj Close,Volume
10/18/22,79.800003,80.589996,78.379997,79.440002,76.668243,9767800
10/19/22,79.150002,79.589996,77.370003,77.639999,74.931038,7429600
10/20/22,77.629997,78.540001,76.139999,76.599998,73.92733,7638100
10/21/22,76.610001,79.529999,76.220001,79.220001,76.45591,8149000
10/24/22,79.529999,81.099998,78.57,79.43,76.658585,8143300
10/25/22,78.610001,80.669998,78.610001,80.510002,77.700905,8173600
10/26/22,80.599998,82.050003,80.580002,80.910004,78.086952,7733400
10/27/22,82,82.480003,80.599998,80.690002,77.874626,6466400
10/28/22,80.269997,82.300003,79.510002,82.220001,80.120773,7816100
10/31/22,81.769997,83.360001,81.690002,82.169998,80.072044,9087400
11/1/22,83.25,83.970001,82.989998,83.720001,81.582474,8195600
11/2/22,83.449997,86.720001,83.419998,84.370003,82.215874,10907500
11/3/22,83.059998,84.629997,82.550003,83.620003,81.485023,6447200
11/4/22,85.150002,85.75,84,84.849998,82.683617,6929700
11/7/22,85.519997,86.129997,85.110001,85.57,83.385246,4599600
11/8/22,85.610001,86.230003,84.510002,85.279999,83.102638,4850300
11/9/22,84.879997,85.339996,83.190002,83.449997,81.319366,5200800
11/10/22,86.690002,88.980003,86.519997,88.800003,86.532776,10013900
11/11/22,89,91.690002,89,90.779999,88.462219,9119100
11/14/22,90.269997,91.360001,89.790001,89.809998,87.516983,4873400
11/15/22,91.07,91.860001,89.360001,90.5,88.189369,7336100
11/16/22,90.470001,90.470001,89.059998,89.82,87.526733,4368600
11/17/22,88.690002,89.120003,87.510002,88.949997,86.67894,4967300
11/18/22,90.269997,90.370003,88.589996,89.199997,86.922546,5450700
11/21/22,89.059998,89.68,88.57,89.080002,86.805618,4667100
11/22/22,89.589996,90.190002,89.300003,89.669998,87.380554,3804100
11/23/22,89.720001,90.449997,89.669998,89.93,87.633919,4961400
11/25/22,89.650002,91.080002,89.470001,90.910004,88.588898,2450100
11/28/22,90.199997,91.099998,89.699997,89.889999,87.59494,6147700
11/29/22,89.639999,91.470001,89.599998,91.080002,88.754562,5307100
11/30/22,91.279999,93.25,89.129997,93.07,90.693748,10520600
12/1/22,93.059998,93.489998,92.040001,93,90.625534,7310400
12/2/22,91.860001,92.660004,91.510002,92.099998,89.748512,5197800
12/5/22,91.480003,91.720001,89.089996,89.809998,87.516983,8272500
12/6/22,89.620003,89.760002,86.410004,87.510002,85.275711,10424700
12/7/22,86.82,88.029999,86.709999,87.279999,85.051582,7066700
12/8/22,87.68,88.790001,87,88.690002,86.425583,6141400
12/9/22,88.68,89.760002,88.370003,89.470001,87.185669,6488300
12/12/22,89.010002,91.330002,88.279999,91.120003,88.793541,7496200
12/13/22,93.660004,95.160004,92.07,92.709999,90.342941,10330500
12/14/22,92.510002,92.68,89.870003,90.5,88.189369,7704600
12/15/22,89.150002,89.190002,86.919998,87.790001,85.548553,8795200
12/16/22,86.529999,86.870003,85.830002,86.860001,84.642303,17262000
12/19/22,86.739998,87.040001,84.959999,85.550003,83.365746,5129600
12/20/22,85.919998,86.449997,85.139999,85.160004,82.98571,5206800
12/21/22,86.410004,87.82,86.349998,86.870003,84.652054,5422400
12/22/22,86.580002,86.580002,84.769997,86.370003,84.164818,5635200
12/23/22,86.330002,86.580002,85.349998,86.110001,83.911453,3316100
12/27/22,86.360001,86.360001,84.940002,85.059998,82.88826,7064700
12/28/22,84.959999,85.209999,84.059998,84.459999,82.303581,3714900
12/29/22,84.959999,85.589996,84.559998,85.239998,83.06366,3461700
12/30/22,84.699997,85.199997,84.18,85.019997,82.849281,4455600
1/3/23,85.639999,86.599998,84.980003,85.720001,83.53141,5108900
1/4/23,85.550003,87.349998,85.18,86.650002,84.437668,7726800
1/5/23,85.900002,86.169998,84.830002,85.919998,83.726303,5339900
1/6/23,86.440002,87.959999,85.709999,87.559998,85.324432,5710900
1/9/23,88.25,88.910004,87.410004,87.639999,85.402382,5039700
1/10/23,87.550003,88.93,86.839996,88.919998,86.649704,4536600
1/11/23,89.370003,89.809998,88.849998,89.43,87.14669,6122600
1/12/23,90.019997,91.809998,89.349998,90.529999,88.218605,7895600
1/13/23,89.029999,91.980003,88.269997,91.660004,89.319756,8414600
1/17/23,95.900002,99.099998,95,97.080002,94.601364,27914300
1/18/23,96.800003,97.949997,96.339996,96.580002,94.114136,14134800
1/19/23,94.610001,94.980003,92.940002,94.150002,91.746185,13457100
1/20/23,94.129997,96.279999,93.879997,96.239998,93.782814,10785000
1/23/23,95.870003,97.220001,95.489998,97.129997,94.650085,8735300
1/24/23,96.279999,96.809998,92.919998,95.510002,93.071457,4801600
1/25/23,94.879997,95.93,94.440002,95.639999,93.198135,5891000
1/26/23,96.220001,96.540001,95.309998,96.5,94.036171,6085100
1/27/23,96.410004,97.43,95.709999,96.860001,94.386986,7990800
1/30/23,95.029999,96.610001,94.919998,95.959999,94.264198,5870100
1/31/23,96.290001,97.370003,95.760002,97.330002,95.609985,7182100
2/1/23,96.949997,99.059998,96.93,98.190002,96.454788,9815200
2/2/23,98.879997,100.269997,97.959999,99.209999,97.456764,11118900
2/3/23,98.239998,100.18,98.07,99.43,97.672874,6948600
2/6/23,98.449997,99.199997,98.07,98.900002,97.152245,4737700
2/7/23,98.769997,99.82,98.050003,99.220001,97.466591,5060700
2/8/23,98.32,99.940002,98.059998,98.959999,97.211174,4705200
2/9/23,99.220001,99.800003,97.730003,98.050003,96.317261,4983800
2/10/23,97.589996,98.599998,97.559998,98.440002,96.700371,5224900
2/13/23,98.459999,99.760002,98.160004,99.43,97.672874,4910300
2/14/23,99.050003,100.989998,98.970001,100.559998,98.782906,7679500
2/15/23,99.510002,100.959999,99.5,100.830002,99.048134,6464200
2/16/23,99.779999,100.239998,98.809998,99.57,97.810402,6051800
2/17/23,98.900002,100.019997,98.300003,99.510002,97.751457,8133000
2/21/23,98.459999,99,97.18,97.620003,95.894859,6556000
2/22/23,97.370003,98.07,96.620003,97.269997,95.551041,5072400
2/23/23,97.879997,98.419998,96.699997,97.940002,96.209206,5916100
2/24/23,97.150002,97.980003,96.610001,97.699997,95.973442,5414200
2/27/23,98.410004,98.480003,96.580002,96.699997,94.991119,5645000
2/28/23,97.120003,97.290001,96.260002,96.5,94.794655,6745300
3/1/23,95.959999,96.760002,95.260002,96.190002,94.490135,5429600
3/2/23,95.449997,96.370003,94.480003,96.080002,94.382072,4632400
3/3/23,96.550003,98.440002,96.449997,98.330002,96.592316,6504000
3/6/23,98.440002,99.199997,98.099998,98.379997,96.641426,5215200
3/7/23,98,98.260002,95.970001,96.059998,94.362427,5461400
3/8/23,95.639999,96.5,95.360001,95.900002,94.205254,4121300
3/9/23,95.360001,95.949997,91.769997,92.199997,90.570641,9162400
3/10/23,91.769997,93.010002,89.230003,90.050003,88.458641,16206500
3/13/23,88.540001,90.18,86.650002,87.989998,86.435036,15175400
3/14/23,92.410004,92.410004,89.120003,89.970001,88.380051,11089300
3/15/23,86.93,87.019997,83.68,85.389999,83.880989,14814000
3/16/23,84.550003,88.279999,83.279999,87.010002,85.472359,15342400
3/17/23,86.489998,86.5,83.699997,84.18,82.692375,19935800
3/20/23,84.599998,86.309998,84.370003,85.639999,84.126572,8649800
3/21/23,88.230003,89.18,88,88.760002,87.191437,8905600
3/22/23,88.75,90.080002,87.459999,87.550003,86.002815,7299300
3/23/23,87.949997,88.800003,85.239998,85.839996,84.323036,9373000
3/24/23,84.510002,84.510002,81.720001,83.949997,82.466431,10978700
3/27/23,86.059998,86.32,84.360001,84.639999,83.144241,6626900
3/28/23,84.559998,85.169998,83.93,84.879997,83.379997,5209900
3/29/23,85.93,86.349998,85.349998,86.239998,84.715965,4873500
3/30/23,87.260002,87.610001,85.459999,86.110001,84.588264,4113700
3/31/23,86.800003,87.870003,86.169998,87.800003,86.248405,6142400
4/3/23,87.949997,88.32,86.669998,87.160004,85.619713,7728400
4/4/23,87,87.199997,84.260002,84.82,83.32106,6222800
4/5/23,83.830002,84.529999,83.199997,83.82,82.33873,6045400
4/6/23,83.900002,84.400002,83.209999,84.190002,82.702202,3877800
4/10/23,83.949997,84.360001,83.43,84,82.515556,6185800
4/11/23,84.290001,85.760002,84.129997,85.089996,83.586288,5582100
4/12/23,85.510002,86.019997,84.790001,85.470001,83.959572,4641800
4/13/23,85.389999,85.779999,84.440002,85.690002,84.17569,5086000
4/14/23,86.43,87.400002,86,86.709999,85.177666,7865900
4/17/23,86.660004,89.309998,86.269997,89.290001,87.712067,8876900
4/18/23,89.129997,90.540001,88.739998,89.849998,88.262169,10227600
4/19/23,87.139999,90.699997,86.5,90.449997,88.85157,13886200
4/20/23,89.849998,91.82,89.720001,90.43,88.831924,6776000
4/21/23,90.480003,91.339996,89.169998,91.120003,89.509735,6531000
4/24/23,91.230003,91.480003,89.550003,90.199997,88.60598,5004400
4/25/23,89.639999,89.830002,87.889999,88.059998,86.503799,5806700
4/26/23,88.150002,89.790001,87.910004,88.440002,86.87709,6429100
4/27/23,89.410004,90.959999,88.889999,90.260002,88.664925,6375800
4/28/23,89.449997,90.330002,89.160004,89.970001,89.145477,6374500
5/1/23,90.190002,90.519997,87.830002,87.93,87.124176,7745400
5/2/23,87.57,87.57,85.330002,86.290001,85.499207,6319100
5/3/23,86.400002,87.18,84.57,84.75,83.97332,6546500
5/4/23,84.169998,84.449997,81.610001,82.610001,81.852928,10359200
5/5/23,83.790001,85.019997,83.620003,84.879997,84.102127,8286500
5/8/23,85.480003,85.57,84.32,84.43,83.65625,5825300
5/9/23,84,84.910004,83.699997,84.370003,83.596802,4381400
5/10/23,85.07,85.220001,82.800003,83.720001,82.952759,4884900
5/11/23,82.779999,82.82,81.620003,82.629997,81.872742,6717800
5/12/23,83,83.269997,81.669998,82.389999,81.634949,5208200
5/15/23,82.669998,83.379997,82.25,82.949997,82.189812,5032100
5/16/23,82.720001,83.07,81.809998,81.860001,81.109802,6862900
5/17/23,82.540001,83.919998,82.5,83.910004,83.141022,8216700
5/18/23,83.699997,84.550003,83.019997,84.489998,83.715698,5367700
5/19/23,83.790001,84.419998,82.230003,82.239998,81.48632,11177500
5/22/23,82.25,83.160004,81.910004,82.269997,81.516045,5520000
5/23/23,82,83.57,81.889999,82.639999,81.882652,5521200
5/24/23,82.010002,82.230003,80.739998,81.220001,80.47567,6827800
5/25/23,81.209999,83.129997,80.980003,83,82.239357,6962700
5/26/23,82.970001,84.639999,82.830002,83.900002,83.131111,7411600
5/30/23,84.160004,84.57,83.110001,83.419998,82.655502,5876800
5/31/23,83.059998,83.279999,81.129997,81.760002,81.010719,9559200
6/1/23,82.580002,82.839996,81.470001,82.07,81.317879,6857500
6/2/23,82.940002,84.68,82.940002,84.349998,83.576981,6218100
6/5/23,84.400002,84.730003,83.220001,83.739998,82.972572,6631900
6/6/23,83.599998,86.230003,83.269997,85.860001,85.073143,6903900
6/7/23,86.050003,87.010002,85.779999,86.5,85.707283,7410800
6/8/23,86.400002,86.910004,85.18,86.309998,85.51902,6795900
6/9/23,86.739998,86.959999,85.660004,86.209999,85.419937,6282600
6/12/23,86.199997,87.639999,86.010002,87.440002,86.638664,7053500
6/13/23,87.839996,88.980003,87.589996,88.279999,87.470963,6089200
6/14/23,88.599998,89.489998,87.639999,87.980003,87.173721,5772500
6/15/23,87.629997,89.330002,87.400002,89.050003,88.233917,8603200
6/16/23,89.620003,89.650002,87.940002,88.089996,87.282707,13144000
6/20/23,87.099998,87.209999,86.25,86.730003,85.935173,7382000
6/21/23,86.559998,87.279999,86.300003,86.339996,85.548744,6343100
6/22/23,85.519997,85.629997,84.360001,84.5,83.725609,6214600
6/23/23,83.260002,83.919998,82.599998,83.580002,82.814041,10017300
6/26/23,83.559998,84.239998,83.25,83.589996,82.823944,6377400
6/27/23,83.910004,84.870003,83.379997,84.43,83.65625,6639900
6/28/23,84.540001,84.559998,83.639999,83.989998,83.220284,4781600
6/29/23,85.339996,86.059998,84.629997,85.239998,84.458824,9066500
6/30/23,86.019997,86.489998,85.400002,85.400002,84.617363,6188200
7/3/23,86.339996,87.660004,85.839996,86.410004,85.618111,5839300
7/5/23,85.949997,86.279999,85.349998,85.919998,85.132591,6734300
7/6/23,84.849998,84.919998,83.019997,83.330002,82.56633,8546800
7/7/23,83.010002,84.040001,82.900002,83.360001,82.596054,8217300
7/10/23,83.419998,84.389999,83.18,83.400002,82.635689,6141200
7/11/23,83.900002,85.43,83.620003,84.959999,84.181389,11057700
7/12/23,86.68,87.709999,85.599998,85.769997,84.983963,8602300
7/13/23,86.230003,86.639999,85.739998,86.209999,85.419937,6026500
7/14/23,87.410004,87.419998,85.559998,85.779999,84.993874,7731300
7/17/23,85.68,86.900002,85.68,86.370003,85.578476,7911800
7/18/23,87.540001,92.559998,87.099998,91.940002,91.097427,21633900
7/19/23,91.43,93.860001,91.330002,93.160004,92.306252,12004300
7/20/23,93.110001,94.139999,92.860001,93.800003,92.940384,9541800
7/21/23,94.269997,94.400002,93.059998,94.010002,93.14846,6297900
7/24/23,94.010002,95.400002,93.699997,94.669998,93.802406,7259800
7/25/23,94.699997,95.57,94.410004,94.419998,93.554695,7760100
7/26/23,94.400002,95.150002,93.290001,93.540001,92.682762,7201100
7/27/23,93.650002,94.709999,92.550003,92.75,91.900002,8427800
7/28/23,92.459999,92.599998,91.089996,91.57,91.57,5798400
7/31/23,91.900002,92.199997,91.040001,91.559998,91.559998,5242900
8/1/23,91.199997,91.43,90.629997,90.940002,90.940002,4468500
8/2/23,89.519997,90.139999,88.790001,89.32,89.32,6407400
8/3/23,88.839996,89.519997,88.510002,89.139999,89.139999,5137700
8/4/23,89.349998,90.050003,88.519997,88.790001,88.790001,6191700
8/7/23,89.449997,89.709999,88.980003,89.080002,89.080002,4663300
8/8/23,87.849998,88.519997,86.260002,88.470001,88.470001,6921200
8/9/23,88.470001,89.010002,87.470001,87.559998,87.559998,5200500
8/10/23,87.910004,88.93,87.32,87.639999,87.639999,4250100
8/11/23,87.059998,88.199997,87.019997,87.699997,87.699997,3922300
8/14/23,86.959999,87.400002,86.519997,87.330002,87.330002,3637500
8/15/23,86.410004,86.470001,85.720001,86.160004,86.160004,9308700
8/16/23,85.739998,86.790001,85.589996,85.989998,85.989998,5746300
8/17/23,86.599998,86.900002,85.199997,85.790001,85.790001,7611200
8/18/23,84.959999,86.300003,84.709999,84.889999,84.889999,6648700
8/21/23,85.019997,85.309998,83.660004,84.25,84.25,5385300
8/22/23,84.709999,84.769997,82.839996,82.980003,82.980003,6003300
8/23/23,83,83.720001,82.879997,83.389999,83.389999,5878600
8/24/23,83.169998,84.75,83.099998,83.440002,83.440002,5023000
8/25/23,83.690002,84.150002,82.739998,83.220001,83.220001,5461400
8/28/23,83.800003,84.870003,83.769997,84.379997,84.379997,6439700
8/29/23,84.410004,85.589996,84.32,85.550003,85.550003,6212300
8/30/23,85.620003,86,85.029999,85.260002,85.260002,5051800
8/31/23,85.669998,85.669998,84.760002,85.150002,85.150002,5581200
9/1/23,86,86.449997,85.290001,85.75,85.75,4981800
9/5/23,85.839996,86.269997,84.809998,84.839996,84.839996,4919400
9/6/23,84.279999,84.75,83.349998,84.160004,84.160004,5384000
9/7/23,83.989998,84.870003,83.779999,83.839996,83.839996,5504200
9/8/23,84.150002,84.949997,83.660004,84.919998,84.919998,6127600
9/11/23,85.379997,85.669998,83.349998,83.510002,83.510002,7780900
9/12/23,83.339996,86.529999,83.230003,85.550003,85.550003,8942600
9/13/23,86.150002,87.800003,86.150002,87.25,87.25,10617400
9/14/23,88.080002,89.110001,87.919998,89.07,89.07,8109600
9/15/23,88.190002,88.730003,87.940002,88.410004,88.410004,17598400
9/18/23,88.57,89.050003,87.550003,88.709999,88.709999,5501900
9/19/23,88.779999,89.470001,87.940002,88.510002,88.510002,5769000
9/20/23,88.830002,89.150002,87.059998,87.139999,87.139999,5268200
9/21/23,86.339996,86.510002,84.830002,84.879997,84.879997,6933900
9/22/23,85.230003,85.230003,83.010002,83.290001,83.290001,7420600
9/25/23,82.629997,83.279999,82.300003,83.029999,83.029999,4748800
9/26/23,82.080002,82.769997,81.720001,82.169998,82.169998,5557000
9/27/23,82.410004,82.610001,81.089996,81.650002,81.650002,5708200
9/28/23,81.480003,82.550003,81.449997,82.190002,82.190002,5665400
9/29/23,83.010002,83.089996,81.029999,81.669998,81.669998,6830500
10/2/23,81.099998,81.470001,79.900002,80.410004,80.410004,6722200
10/3/23,79.580002,79.839996,77.830002,78.019997,78.019997,7526800
10/4/23,78.099998,79.290001,77.610001,79.089996,79.089996,6848700
10/5/23,78.480003,79.540001,78.019997,79.150002,79.150002,5589300
10/6/23,78.720001,80.790001,78.400002,80.330002,80.330002,6305600
10/9/23,79.599998,80.080002,78.93,79.910004,79.910004,5125000
10/10/23,80.25,81.110001,80.019997,80.129997,80.129997,6245400
10/11/23,79.910004,80.209999,78.709999,78.900002,78.900002,8928700
10/12/23,78.870003,78.870003,77.290001,77.809998,77.809998,11654600
10/13/23,78.199997,79.230003,77.339996,77.790001,77.790001,6442800
10/16/23,78.790001,79.18,77.870003,78.730003,78.730003,7901500
10/17/23,77.989998,80.629997,77.980003,80.330002,80.330002,12309000
10/18/23,76.43,77.029999,73.809998,73.879997,73.879997,13228972